timestamp,event,duration,device,interface,comment
1558249239.379122,apply_device_configs,,,,Edit subscriptions leaf8
1558249241.963821,apply_device_configs,,,,Edit subscriptions leaf7
1558249250.277223,apply_device_configs,,,,Edit subscriptions spine3
1558249252.881032,apply_device_configs,,,,Edit subscriptions spine4
1558249258.986313,enable_bfd,,spine4-3464,eth1/25,
1558249381.000000,clear_telemetry,,spine1,,
1558249381.000000,clear_telemetry,,spine2,,
1558249381.000000,clear_telemetry,,spine3,,
1558249381.000000,clear_telemetry,,spine4,,
1558249381.000000,clear_telemetry,,leaf7,,
1558249381.000000,clear_telemetry,,leaf8,,
1558249381.000000,clear_telemetry,,dr02,,
1558249381.000000,clear_telemetry,,dr03,,
1558249381.658611,ixchariot_traffic,10800,,,
1558249387.826119,break_bfd,,spine4-3464,eth1/25,
1558250581.677304,shutdown_interface,,leaf7,HundredGigE0/0/0/10,
1558251787.725634,enable_bfd,,spine4-3464,eth1/25,
1558252981.645437,enable_interface,,leaf7,HundredGigE0/0/0/10,
1558254187.737679,break_bfd,,spine4-3464,eth1/25,
1558255381.645904,shutdown_interface,,leaf7,HundredGigE0/0/0/10,
1558256587.759054,enable_bfd,,spine4-3464,eth1/25,
1558257781.742209,enable_interface,,leaf7,HundredGigE0/0/0/10,
1558258987.739671,break_bfd,,spine4-3464,eth1/25,
1558260181.642781,shutdown_interface,,leaf7,HundredGigE0/0/0/10,
1558260189.485358,ixchariot_traffic_stopped,,,,
1558260295.000000,collect_telemetry,,spine1,,
1558260295.000000,collect_telemetry,,spine2,,
1558260295.000000,collect_telemetry,,spine3,,
1558260295.000000,collect_telemetry,,spine4,,
1558260295.000000,collect_telemetry,,leaf7,,
1558260295.000000,collect_telemetry,,leaf8,,
1558260295.000000,collect_telemetry,,dr02,,
1558260295.000000,collect_telemetry,,dr03,,
1558260381.067799,enable_interface,,leaf7,HundredGigE0/0/0/10,
